chain,hash,signed_amount,date,from,to,reason
T12,b4081095fa0c2369fa5069081031f4e9fe8a970ac3b835e90bc7cd2520252bdf,1.0,2023-03-21T15:16:35.344000+00:00,0xfef7f1b85e21c41574e313eb8db722000afab693,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
T12,9fc5540e7d5560800f7c613e4b419a30dcfba7113c17d4276c7edefa60b8b84b,1000.0,2023-03-21T15:21:11.694000+00:00,0x5e91bbdc8910337af19009337f8526c406698d6c,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
T12,c2f0894a91181711d9a539d368cabaf1f5ab65ac2ff0eddf47b6ea8c51d2bf31,100.0,2023-03-21T15:24:04.692000+00:00,0x5e91bbdc8910337af19009337f8526c406698d6c,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
T12,e23dffc4222918d8b5d0bac9216de4881f08c849c6a1742d2a3845e902ba4691,0.0001,2023-03-21T15:30:08.763000+00:00,0x5e91bbdc8910337af19009337f8526c406698d6c,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
T12,eb49162a0ec2a53f47c45ce012ccda1fd49d48ed8f5063bbeb85b109b2a5234d,0.0001,2023-03-21T15:31:13.631000+00:00,0x5e91bbdc8910337af19009337f8526c406698d6c,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
T12,8d26eb86fc43eac6094f7e021d0ae596e5dcca9ef23f7c05a0dd154f129bc675,-1.0109,2023-03-21T19:14:10.898000+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0xfef7f1b85e21c41574e313eb8db722000afab693,No matching ERC20 transaction found within 23040 min tolerance
T12,ad537983fe2e5798f1ec35efd19d729fd6bc823f9f3667531821bcdfb5c3ecbf,20.0,2023-03-22T15:31:42.704000+00:00,0x5e91bbdc8910337af19009337f8526c406698d6c,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
T12,569f3071f59b2cedeff7cd0f7678a9b2576c7d6c568b680f4a3fdf81c190c30d,-2.0,2023-03-23T09:38:32.856000+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0xfef7f1b85e21c41574e313eb8db722000afab693,No matching ERC20 transaction found within 23040 min tolerance
T12,eb286bab702e80a7d31274a4fdfd89c3f995577d7d80647afef710b68a5410a6,-10.0,2023-03-25T10:59:03.931000+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0xfef7f1b85e21c41574e313eb8db722000afab693,No matching ERC20 transaction found within 23040 min tolerance
T12,29ec45ada712ffa7721479d0aca2f5da025fe7a8a2e7f378bbe7194c3e3e9c98,27.0,2023-03-25T15:13:56.251000+00:00,0x5e91bbdc8910337af19009337f8526c406698d6c,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
T12,5643d8c2f88f80b2464943cc80e5cf5582c9e449307bc6ea50ac57f094f64534,-17.0,2023-03-25T15:17:04.664000+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x5e91bbdc8910337af19009337f8526c406698d6c,No matching ERC20 transaction found within 23040 min tolerance
T12,6d7d79e4cc9987a640680b2ed9fe2e490d7139690b9d1bf7ccbbbbef4c268c9b,21.0,2023-03-25T17:27:27.360000+00:00,0x5e91bbdc8910337af19009337f8526c406698d6c,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
T12,551e813c3b1bed4c3a76617ad465442fdff37ab8aa1ec1080dd04de5bc71e9fa,100.0,2023-03-26T12:34:19.476000+00:00,0xc193c5e4b70160a90795225e5720dbae0340e5e7,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
T12,069f0eaabf52a77a45a481277631563d6748d6ed16ee7b747cb6cb8329c9275a,1000.0,2023-03-26T16:08:27.730000+00:00,0xc193c5e4b70160a90795225e5720dbae0340e5e7,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
T12,184d4f41b0d690198391c1a53bbfad6cc13ce92d0718886aede41d4ea2b35092,-1100.0,2023-04-07T09:45:50.984000+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0xc193c5e4b70160a90795225e5720dbae0340e5e7,No matching ERC20 transaction found within 23040 min tolerance
T12,176a24556863d4f4b837995e4b52dfeedb174b9e40422e6cfb4b7f7e5ffb45be,-3.9889,2023-04-07T10:11:55.094000+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0xfef7f1b85e21c41574e313eb8db722000afab693,No matching ERC20 transaction found within 23040 min tolerance
T12,30e8aa0e29fc378c3f7edbd8a99084bd57e8d6e4e7dac3d6b741cd8ad42a8bd0,-1.0,2023-04-21T19:05:59.295000+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x176129bc4cb51335b32142087bb36b8f696164e6,No matching ERC20 transaction found within 23040 min tolerance
T12,9eaba4d45a238bdf0c294537601c36f70fc12e730693b972984b70543528d63a,-1135.00039999,2023-05-04T16:28:30.103000+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x461266d5ebe2efc1ef9c78d347901b4b281c6f02,No matching ERC20 transaction found within 23040 min tolerance
ERC20,0xc04c3ff43518238aceec9fb963adae0a71c80ade20917df433460baf4623f11c,-25000.0,2023-05-04T17:00:11+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x0848267162c10a1a9f100a4cad44db6daf43c4c9,No matching T12 transaction found within 23040 min tolerance
T12,03d688f4098a9747b0714f0a214e943f0134b0e5a21b863c96785daaf4b671c7,25000.0,2023-05-04T18:00:07.305000+00:00,0xd41d90dc5d146965404118470ec64784ff6a79bd,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
T12,c8e9d377fe0eb3e1c08665d81871ce1956e4b14c7a9b93eebcfd70ebb42ffd25,28858.0,2023-06-16T08:32:42.979000+00:00,0x485aa23be2e58d77920f8aafb7c9b3b5e5173275,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
ERC20,0x09809a56004997f86876ba2beb6e561ad360cae7d48b0a1b001914a5627bd81b,-112600.0,2023-06-20T12:41:11+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x371565d1078848d127a40d061fe6e43b2e9d8db4,No matching T12 transaction found within 23040 min tolerance
T12,ebdecb600677d7e1ea506058b1bb307905d56faedf1571a1689b2cbd9b0f3ece,112600.0,2023-06-20T13:44:17.243000+00:00,0x485aa23be2e58d77920f8aafb7c9b3b5e5173275,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
ERC20,0x482c77b01f68a9acbb9a35691a8fba9d37c534482ab2c044e7ace0c58c6b7482,-67400.0,2023-06-20T16:16:35+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x371565d1078848d127a40d061fe6e43b2e9d8db4,No matching T12 transaction found within 23040 min tolerance
T12,6071dc399ca0b3891208d685b419e5819aa530095f56edd49b2277ac30e38107,67400.0,2023-06-20T17:19:26.627000+00:00,0x485aa23be2e58d77920f8aafb7c9b3b5e5173275,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
