wallet_address,erc20_txcount_sent_to_brdg,erc20_total_sent_to_brdg,erc20_txcount_received_from_brdg,erc20_total_received_from_brdg,erc20_net_balance,t12_txcnt_sent_to_brdg,t12_total_sent_to_brdg,t12_txcnt_received_from_brdg,t12_total_received_from_brdg,t12_net_balance,diff_net_balance
0x1fec4273a2ab2cdf260893e7c140b4fadc219d36,1,50000.0,149,3173413.0,3123413.0,156,3187214.0,1,50000.0,-3137214.0,-13801.0
0xd1e976025829fa492799e14c68419972e1743fe3,1,50000.0,24,916550.0,866550.0,87,1099224.0681587998,1,50000.0,-1049224.0681587998,-182674.06815879978
0x032d31cb46f7fe34017fc8e60839393e01d484aa,3,425000.0,132,1291216.917935,866216.917935,133,1292216.917935,4,430000.0,-862216.917935,4000.0
0x1a8d4fe88ccf87d7a21abdb282da764bb52a6c05,0,0.0,12,462728.41968388,462728.41968388,12,462728.41968388,0,0.0,-462728.41968388,0.0
0x371565d1078848d127a40d061fe6e43b2e9d8db4,0,0.0,3,206000.0,206000.0,0,0.0,0,0.0,0.0,206000.0
0xc193c5e4b70160a90795225e5720dbae0340e5e7,0,0.0,6,178509.52365882,178509.52365882,18,229269.52365882002,1,1100.0,-228169.52365882002,-49660.00000000003
0x50deb045a6897593831b6eeb7d581fd4d3457929,1,90000.0,4,254500.0,164500.0,5,254590.9,1,90000.0,-164590.9,-90.89999999999418
0x1712970f9e033deccbf97adacef230bdacfb64e7,0,0.0,12,91690.09619747999,91690.09619747999,14,113446.09619745999,0,0.0,-113446.09619745999,-21755.999999980006
0x5c2b5e55b664acffb59f9e71dad2a8c79807f1c6,0,0.0,4,89500.0,89500.0,6,189500.0,0,0.0,-189500.0,-100000.0
0xa7aa8d0dba60e8cab5b8c2733d3eb7d8b24cc465,0,0.0,11,69036.14248514,69036.14248514,11,69036.14248514001,1,1000.0,-68036.14248514001,999.9999999999854
0x26b088136f7258c06c009647fb760570a1928947,1,13.2832402,16,68057.78,68044.4967598,16,68057.78003,1,13.28324019,-68044.49678981,-3.0010007321834564e-05
0x5a741ae02a17ce7540141862a9751d56c02a170c,0,0.0,5,55229.0,55229.0,6,81229.0,0,0.0,-81229.0,-26000.0
0x9d627b87b0e28cca30bf17c8d35d09951d358ff8,0,0.0,1,50000.0,50000.0,0,0.0,0,0.0,0.0,50000.0
0xa1b2703eb7abde97213839024a346436872b7119,0,0.0,1,50000.0,50000.0,0,0.0,0,0.0,0.0,50000.0
0x2a1bd163100194a6bf1be782b3340c12c4791b42,0,0.0,2,49570.0,49570.0,0,0.0,0,0.0,0.0,49570.0
0x62c133cc47389edf99ca2959665352f7023b2fab,0,0.0,6,49280.494,49280.494,6,49280.49399999,0,0.0,-49280.49399999,9.997165761888027e-09
0x3570bac217c0e08dac92fa466b08c1178fcdbd27,0,0.0,8,48165.4,48165.4,8,48165.39999999,0,0.0,-48165.39999999,1.000444171950221e-08
0x07623d10e5f41e305ee86a3253c9c6e56486bb9c,0,0.0,3,47000.0,47000.0,0,0.0,0,0.0,0.0,47000.0
0x6397b894b1c68951bb7164979bf8a95cceba540b,0,0.0,1,42857.14,42857.14,0,0.0,0,0.0,0.0,42857.14
0x5ecb58b96486d97ff7d0fb67287ff5289d181ac6,6,233.99,21,42484.799999999996,42250.81,15,56291.51999999,45,56297.51999999998,6.000000009982614,42256.81000000998
